"household_id","cluster_id","country","region_type","household_size","head_age","head_gender","head_education","monthly_income","employed_members","electricity_access","water_access","internet_access","health_insurance","distance_health_facility","owns_land","livestock_count","interview_date","response_status","sampling_weight"
"HH00001",141,"Tanzania","Rural",3,44,"Female","Primary",5494,0,1,1,0,0,2.4,1,1,2025-02-17,"Complete",55.412637477275
"HH00002",204,"Zambia","Rural",7,33,"Male","Primary",1070,1,0,0,1,0,2.5,1,1,2025-03-15,"Complete",99.0949319675565
"HH00003",164,"Zimbabwe","Urban",5,31,"Female","Secondary",27355,0,0,1,0,0,0.5,0,1,2025-03-03,"Complete",81.3968818052672
"HH00004",154,"Botswana","Rural",6,52,"Female","Primary",2218,4,0,1,0,0,5.9,0,4,2025-02-05,"Complete",132.558591780253
"HH00005",193,"Zambia","Rural",7,41,"Male","Secondary",14537,0,0,1,1,0,3.7,1,0,2025-02-01,"Partial",62.0044394163415
"HH00006",23,"Namibia","Urban",5,34,"Male","Secondary",4026,2,0,0,1,1,9.5,1,4,2025-02-17,"Complete",112.538695940748
"HH00007",187,"Tanzania","Rural",8,44,"Male","Primary",5900,4,1,1,1,0,3.2,0,3,2025-03-08,"Complete",195.262557372916
"HH00008",10,"Tanzania","Rural",6,71,"Female","Primary",6396,2,1,1,1,0,5.2,1,1,2025-02-19,"Complete",84.9711793242022
"HH00009",205,"Botswana","Urban",3,38,"Male","Secondary",5845,0,0,1,0,0,5.5,0,3,2025-02-09,"Partial",97.2181192482822
"HH00010",113,"Mozambique","Urban",8,43,"Female","Secondary",7265,2,1,1,1,1,2.7,1,2,2025-02-11,"Complete",189.530273224227
"HH00011",204,"Botswana","Rural",4,35,"Female","Primary",4386,0,1,0,1,0,5.2,1,2,2025-03-14,"Complete",178.628193668555
"HH00012",132,"South Africa","Urban",3,31,"Male","No education",3488,0,1,0,0,0,8.6,0,3,2025-01-20,"Complete",134.168966044672
"HH00013",27,"Mozambique","Urban",6,38,"Male","Secondary",12776,2,1,1,0,0,4.5,0,0,2025-02-09,"Complete",160.064534691628
"HH00014",215,"Tanzania","Urban",6,52,"Male","Secondary",21096,3,1,1,1,0,8,0,2,2025-02-05,"Complete",79.96379485121
"HH00015",123,"South Africa","Urban",4,48,"Male",NA,5484,1,1,1,0,0,1.7,1,3,2025-02-22,"Refused",181.681466009468
"HH00016",117,"Malawi","Rural",3,73,"Male","Tertiary",3973,2,1,1,0,0,1.4,0,0,2025-03-06,"Complete",182.129567407537
"HH00017",151,"Botswana","Rural",4,25,"Female","Secondary",5055,1,1,0,0,0,3,0,3,2025-01-17,"Complete",116.990449640434
"HH00018",59,"South Africa","Rural",5,70,"Male","Secondary",11126,1,0,1,0,0,1.9,0,1,2025-01-10,"Complete",92.3765381448902
"HH00019",139,"Zimbabwe","Rural",7,66,"Female","Secondary",2272,3,0,0,0,0,1.8,0,2,2025-02-05,"Refused",98.140841757413
"HH00020",159,"South Africa","Rural",5,44,"Male","Primary",2529,2,0,1,0,0,3.2,1,2,2025-02-11,"Complete",82.9350151354447
"HH00021",142,"Mozambique","Rural",7,42,"Female","Tertiary",3074,2,1,1,1,1,3.8,1,1,2025-02-08,"Complete",113.072849484161
"HH00022",37,"Zambia","Urban",8,36,"Male","Primary",1836,3,1,1,1,0,2.5,0,2,2025-01-19,"Complete",192.826778651215
"HH00023",32,"Tanzania","Rural",6,56,"Female","Secondary",3280,3,1,1,1,0,3.4,0,3,2025-01-16,"Complete",174.496378574986
"HH00024",63,"Malawi","Urban",3,64,"Male","Primary",6817,2,1,1,1,1,3.8,1,1,2025-01-07,"Complete",62.8381025977433
"HH00025",29,"Tanzania","Urban",5,53,"Male",NA,14918,1,1,1,1,0,4.7,1,1,2025-03-01,"Complete",192.426695360336
"HH00026",33,"Zambia","Urban",3,43,"Female","Secondary",9388,0,1,0,0,0,2.7,0,1,2025-03-11,"Complete",113.018909352832
"HH00027",89,"Mozambique","Rural",8,31,"Male",NA,7795,3,1,0,0,1,2.7,1,2,2025-02-20,"Complete",57.760422246065
"HH00028",118,"Zimbabwe","Rural",4,63,"Male","Primary",6008,1,1,1,1,0,0.7,1,3,2025-01-12,"Partial",116.116923943628
"HH00029",88,"Zimbabwe","Rural",3,63,"Male","Primary",1909,1,1,1,1,1,13.7,1,6,2025-03-25,"Complete",68.3852483169176
"HH00030",195,"Botswana","Rural",3,46,"Female","Tertiary",6149,0,0,1,0,0,7.4,1,2,2025-03-07,"Complete",69.2360143177211
"HH00031",174,"Zambia","Urban",1,25,"Male","Tertiary",9951,0,0,1,0,1,4.6,0,1,2025-02-24,"Complete",103.592049190775
"HH00032",172,"Botswana","Urban",6,40,"Female","Secondary",11012,2,1,1,0,0,5.4,0,1,2025-02-27,"Complete",145.220825145952
"HH00033",115,"South Africa","Rural",4,70,"Male","Primary",3514,1,1,1,0,0,1.2,0,2,2025-02-28,"Complete",62.8390546422452
"HH00034",50,"Tanzania","Urban",7,19,"Female",NA,2637,3,1,1,0,0,3.9,0,0,2025-01-06,"Refused",145.517860550899
"HH00035",59,"South Africa","Rural",4,63,"Female","Primary",400,3,1,1,1,1,2.7,1,3,2025-03-16,"Refused",184.405875462107
"HH00036",61,"Botswana","Urban",4,42,"Male","Primary",10637,2,1,1,1,1,1.8,1,2,2025-02-19,"Complete",186.521699547302
"HH00037",16,"Botswana","Urban",6,47,"Male","Primary",5336,3,0,1,1,0,4,0,0,2025-02-17,"Complete",90.1322076097131
"HH00038",195,"South Africa","Urban",3,45,"Female","Secondary",13260,0,1,1,1,1,4.3,1,2,2025-03-21,"Complete",71.6831127298065
"HH00039",69,"Mozambique","Rural",9,33,"Female","No education",4863,2,1,0,1,0,10.7,0,0,2025-03-03,"Complete",141.658131743316
"HH00040",52,"Botswana","Rural",4,57,"Female",NA,5851,2,1,1,0,0,2.9,1,3,2025-02-20,"Partial",157.822192448657
"HH00041",186,"Mozambique","Rural",4,55,"Female","No education",3303,2,0,1,1,1,6.4,0,3,2025-02-28,"Partial",96.1743642576039
"HH00042",144,"South Africa","Urban",7,45,"Female","Tertiary",3147,1,1,0,1,0,NA,1,3,2025-01-29,"Complete",192.595606530085
"HH00043",114,"Tanzania","Rural",6,76,"Male","No education",4298,2,0,1,1,0,5.4,1,2,2025-02-15,"Complete",142.328585300129
"HH00044",49,"Botswana","Rural",6,36,"Male","Primary",1068,1,1,1,1,0,4.6,0,0,2025-03-14,"Complete",76.6570857842453
"HH00045",195,"Mozambique","Rural",3,18,"Male","Secondary",6919,1,0,1,0,1,6.1,1,2,2025-01-09,"Complete",147.378029394895
"HH00046",143,"Zambia","Urban",3,29,"Male","Primary",2577,0,1,1,0,0,3.2,0,0,2025-03-22,"Complete",116.992903163191
"HH00047",50,"Malawi","Urban",4,44,"Female","Tertiary",17269,1,1,1,0,1,2.2,1,1,2025-01-05,"Complete",160.749444237445
"HH00048",114,"Tanzania","Rural",5,60,"Male","Primary",1643,0,1,1,1,0,4.2,0,1,2025-03-10,"Complete",196.040594438091
"HH00049",185,"South Africa","Urban",3,46,"Male","Tertiary",4063,1,1,0,0,0,0.6,1,4,2025-03-18,"Refused",174.763602658641
"HH00050",107,"Namibia","Rural",4,44,"Female","Primary",8676,0,1,1,1,0,3.9,0,2,2025-03-29,"Complete",50.5468365503475
"HH00051",235,"Mozambique","Urban",5,18,"Male","Secondary",12290,1,1,1,0,0,2.8,0,1,2025-02-09,"Complete",147.095212107524
"HH00052",177,"Zimbabwe","Urban",4,32,"Female","Primary",3093,3,1,1,1,0,1.8,1,2,2025-03-23,"Complete",150.591116689611
"HH00053",46,"South Africa","Rural",5,35,"Male","No education",10288,2,0,1,0,1,1.2,1,4,2025-01-08,"Complete",163.637286238372
"HH00054",196,"South Africa","Urban",8,32,"Female","Primary",1531,1,0,1,0,0,2.2,0,3,2025-03-10,"Complete",129.818525980227
"HH00055",24,"Zambia","Urban",5,42,"Female","Secondary",11705,1,1,0,0,0,11.3,0,2,2025-03-13,"Complete",115.893398493063
