"psu_id","province","urban_rural","economic_zone","stratum","size"
486,"P1","Rural","Mixed","P1_Rural",408
41,"P1","Rural","Industrial","P1_Rural",409
296,"P1","Rural","Agricultural","P1_Rural",428
465,"P1","Rural","Agricultural","P1_Rural",1256
448,"P1","Rural","Industrial","P1_Rural",392
455,"P1","Urban","Industrial","P1_Urban",985
267,"P1","Urban","Service","P1_Urban",779
373,"P1","Urban","Agricultural","P1_Urban",968
281,"P1","Urban","Service","P1_Urban",1858
192,"P1","Urban","Mixed","P1_Urban",1861
271,"P2","Rural","Industrial","P2_Rural",523
13,"P2","Rural","Service","P2_Rural",552
251,"P2","Rural","Service","P2_Rural",269
434,"P2","Rural","Service","P2_Rural",509
174,"P2","Rural","Agricultural","P2_Rural",657
74,"P2","Urban","Service","P2_Urban",853
458,"P2","Urban","Industrial","P2_Urban",1562
215,"P2","Urban","Industrial","P2_Urban",816
340,"P2","Urban","Industrial","P2_Urban",1002
298,"P2","Urban","Mixed","P2_Urban",1390
456,"P3","Rural","Agricultural","P3_Rural",350
48,"P3","Rural","Service","P3_Rural",343
419,"P3","Rural","Industrial","P3_Rural",725
406,"P3","Rural","Mixed","P3_Rural",964
167,"P3","Rural","Service","P3_Rural",400
270,"P3","Urban","Mixed","P3_Urban",2453
43,"P3","Urban","Service","P3_Urban",816
341,"P3","Urban","Agricultural","P3_Urban",1289
490,"P3","Urban","Industrial","P3_Urban",1248
368,"P3","Urban","Industrial","P3_Urban",607
11,"P4","Rural","Service","P4_Rural",440
319,"P4","Rural","Industrial","P4_Rural",486
14,"P4","Rural","Industrial","P4_Rural",688
374,"P4","Rural","Mixed","P4_Rural",720
66,"P4","Rural","Service","P4_Rural",902
196,"P4","Urban","Service","P4_Urban",607
324,"P4","Urban","Industrial","P4_Urban",895
220,"P4","Urban","Service","P4_Urban",827
145,"P4","Urban","Agricultural","P4_Urban",840
69,"P4","Urban","Mixed","P4_Urban",843
414,"P5","Rural","Industrial","P5_Rural",766
381,"P5","Rural","Industrial","P5_Rural",431
300,"P5","Rural","Service","P5_Rural",300
447,"P5","Rural","Agricultural","P5_Rural",392
157,"P5","Rural","Agricultural","P5_Rural",242
264,"P5","Urban","Agricultural","P5_Urban",1901
6,"P5","Urban","Service","P5_Urban",1531
231,"P5","Urban","Industrial","P5_Urban",2010
49,"P5","Urban","Service","P5_Urban",1098
141,"P5","Urban","Service","P5_Urban",1822
