"id","province","district","urban_rural","age_group","gender","education_level","employed","health_insurance","income","stratum","psu","weight"
1,"Prov10","Dist10","Rural","15-24","Female","Primary",0,0,15600,"Prov10_Rural","Prov10_Rural_12",93.3899526908694
2,"Prov10","Dist2","Rural","65+","Female","Secondary",0,0,6529,"Prov10_Rural","Prov10_Rural_6",93.3899526908694
3,"Prov1","Dist29","Urban","65+","Female","Secondary",1,0,30899,"Prov1_Urban","Prov1_Urban_20",103.035300315577
4,"Prov10","Dist10","Rural","65+","Male","Primary",0,0,7822,"Prov10_Rural","Prov10_Rural_18",93.3899526908694
5,"Prov10","Dist26","Rural","25-44","Female","Primary",0,0,12908,"Prov10_Rural","Prov10_Rural_2",93.3899526908694
6,"Prov3","Dist9","Rural","15-24","Female","Secondary",1,1,22319,"Prov3_Rural","Prov3_Rural_6",112.399215311118
7,"Prov3","Dist22","Rural","45-64","Female","None",0,1,8684,"Prov3_Rural","Prov3_Rural_19",112.399215311118
8,"Prov7","Dist13","Rural","15-24","Female","Secondary",1,0,20885,"Prov7_Rural","Prov7_Rural_14",94.777534377427
9,"Prov4","Dist26","Rural","15-24","Female","Secondary",0,0,16266,"Prov4_Rural","Prov4_Rural_1",95.2025594827289
10,"Prov2","Dist19","Urban","25-44","Male","Primary",0,0,19383,"Prov2_Urban","Prov2_Urban_16",131.832986879423
11,"Prov1","Dist21","Urban","65+","Female","None",0,0,19155,"Prov1_Urban","Prov1_Urban_14",103.035300315577
12,"Prov3","Dist23","Rural","65+","Male","Tertiary",0,0,11064,"Prov3_Rural","Prov3_Rural_6",112.399215311118
13,"Prov2","Dist12","Urban","25-44","Male","None",1,1,41158,"Prov2_Urban","Prov2_Urban_2",131.832986879423
14,"Prov5","Dist10","Urban","15-24","Male","Tertiary",1,0,89331,"Prov5_Urban","Prov5_Urban_6",114.42922458093
15,"Prov9","Dist14","Urban","0-14","Female","None",0,1,33100,"Prov9_Urban","Prov9_Urban_17",80.6751578884808
16,"Prov2","Dist9","Urban","25-44","Male","Secondary",1,0,47782,"Prov2_Urban","Prov2_Urban_3",131.832986879423
17,"Prov1","Dist13","Rural","0-14","Female","Primary",0,1,63032,"Prov1_Rural","Prov1_Rural_7",139.103490345743
18,"Prov5","Dist4","Urban","65+","Male","None",1,0,34100,"Prov5_Urban","Prov5_Urban_11",114.42922458093
19,"Prov5","Dist2","Urban","0-14","Female","Secondary",1,0,71888,"Prov5_Urban","Prov5_Urban_16",114.42922458093
20,"Prov1","Dist19","Rural","45-64","Male","Primary",0,0,22444,"Prov1_Rural","Prov1_Rural_6",139.103490345743
21,"Prov8","Dist23","Rural","65+","Female","Primary",0,0,18425,"Prov8_Rural","Prov8_Rural_9",98.3084531593788
22,"Prov2","Dist3","Rural","45-64","Male","Secondary",0,0,29217,"Prov2_Rural","Prov2_Rural_2",104.857453934119
23,"Prov7","Dist7","Rural","0-14","Male","Secondary",1,1,26622,"Prov7_Rural","Prov7_Rural_3",94.777534377427
24,"Prov9","Dist1","Urban","0-14","Female","Primary",1,0,31347,"Prov9_Urban","Prov9_Urban_10",80.6751578884808
25,"Prov8","Dist16","Urban","15-24","Female","Tertiary",1,1,140412,"Prov8_Urban","Prov8_Urban_1",86.7516533136787
26,"Prov1","Dist8","Urban","0-14","Male","None",0,0,17724,"Prov1_Urban","Prov1_Urban_2",103.035300315577
27,"Prov9","Dist17","Rural","65+","Male","Secondary",0,0,29733,"Prov9_Rural","Prov9_Rural_17",102.574445888518
28,"Prov1","Dist23","Rural","65+","Male","Secondary",0,1,24545,"Prov1_Rural","Prov1_Rural_10",139.103490345743
29,"Prov3","Dist7","Urban","65+","Male","Tertiary",0,0,73557,"Prov3_Urban","Prov3_Urban_13",95.0637042351494
30,"Prov7","Dist4","Rural","45-64","Male","None",0,0,19824,"Prov7_Rural","Prov7_Rural_8",94.777534377427
31,"Prov8","Dist24","Rural","0-14","Male","Secondary",0,0,45468,"Prov8_Rural","Prov8_Rural_2",98.3084531593788
32,"Prov5","Dist13","Urban","0-14","Male","None",1,1,153195,"Prov5_Urban","Prov5_Urban_14",114.42922458093
33,"Prov7","Dist21","Rural","45-64","Female","Tertiary",0,0,52010,"Prov7_Rural","Prov7_Rural_16",94.777534377427
34,"Prov3","Dist2","Rural","15-24","Male","None",1,0,36272,"Prov3_Rural","Prov3_Rural_15",112.399215311118
35,"Prov10","Dist12","Urban","0-14","Male","Primary",0,1,86808,"Prov10_Urban","Prov10_Urban_5",95.3933680941479
36,"Prov7","Dist9","Rural","25-44","Male","Tertiary",1,1,58559,"Prov7_Rural","Prov7_Rural_10",94.777534377427
37,"Prov10","Dist15","Rural","65+","Female","Primary",0,0,16492,"Prov10_Rural","Prov10_Rural_9",93.3899526908694
