"person_id","gender","baseline_age","baseline_education","region","wave","year","age","employed","income","health_status","base_weight","attrition_weight","final_weight"
1,"Male",46,9,"East",1,2020,46,1,58462,73.5127092467243,1000,1,1000
2,"Male",43,4,"North",1,2020,43,1,64517,47.2468426488171,1000,1,1000
3,"Female",62,20,"South",1,2020,62,1,119447,45.5744887552087,1000,1,1000
4,"Male",37,18,"East",1,2020,37,1,83964,67.5471302813432,1000,1,1000
5,"Female",21,3,"West",1,2020,21,1,46048,49.6730373933927,1000,1,1000
6,"Male",28,15,"West",1,2020,28,1,50308,85.4425039157367,1000,1,1000
7,"Male",50,19,"South",1,2020,50,1,52681,51.2929447570354,1000,1,1000
8,"Male",48,2,"North",1,2020,48,1,18404,64.3021603955911,1000,1,1000
9,"Female",44,1,"North",1,2020,44,0,22349,55.2835213196864,1000,1,1000
10,"Male",46,4,"North",1,2020,46,0,96402,77.9096986490736,1000,1,1000
11,"Female",51,12,"North",1,2020,51,1,74825,39.8196562290527,1000,1,1000
12,"Female",33,20,"West",1,2020,33,1,96514,60.1770825593602,1000,1,1000
13,"Female",50,19,"East",1,2020,50,1,75137,25.5194953341832,1000,1,1000
14,"Female",46,14,"West",1,2020,46,0,47514,76.5441938580532,1000,1,1000
15,"Female",24,2,"West",1,2020,24,1,27162,68.6897316029166,1000,1,1000
16,"Male",18,19,"North",1,2020,18,1,38662,58.3314631019205,1000,1,1000
17,"Male",19,18,"North",1,2020,19,1,96082,80.1064833520518,1000,1,1000
18,"Female",50,6,"East",1,2020,50,1,45929,51.479981394882,1000,1,1000
19,"Male",54,10,"South",1,2020,54,0,20177,63.135493453492,1000,1,1000
20,"Male",34,6,"East",1,2020,34,0,35259,39.3531291655719,1000,1,1000
21,"Female",27,15,"North",1,2020,27,1,67847,76.3073753148091,1000,1,1000
22,"Male",36,15,"South",1,2020,36,1,49133,36.9962846329331,1000,1,1000
23,"Male",60,4,"South",1,2020,60,1,12545,49.1333099253403,1000,1,1000
24,"Male",50,18,"East",1,2020,50,1,15579,74.2433850122936,1000,1,1000
25,"Male",64,13,"North",1,2020,64,1,83840,41.2714888798378,1000,1,1000
26,"Male",61,19,"West",1,2020,61,1,41790,48.0732802081199,1000,1,1000
27,"Male",25,7,"South",1,2020,25,0,47855,58.2740668786866,1000,1,1000
28,"Male",65,7,"West",1,2020,65,0,55105,18.8684037228748,1000,1,1000
29,"Male",21,4,"West",1,2020,21,0,38732,70.1514442333345,1000,1,1000
30,"Female",34,20,"North",1,2020,34,1,73980,45.4155009993589,1000,1,1000
31,"Female",59,1,"North",1,2020,59,1,26071,80.1368260994355,1000,1,1000
32,"Female",44,0,"East",1,2020,44,0,31750,73.6192361570865,1000,1,1000
33,"Male",52,12,"East",1,2020,52,1,45362,38.3726218532855,1000,1,1000
34,"Male",35,13,"North",1,2020,35,1,51075,64.2211919359047,1000,1,1000
35,"Male",46,4,"West",1,2020,46,1,28168,22.7085849162457,1000,1,1000
36,"Female",62,12,"West",1,2020,62,0,69865,51.2879292920759,1000,1,1000
37,"Male",52,18,"North",1,2020,52,1,49823,73.2101625723605,1000,1,1000
38,"Male",21,8,"East",1,2020,21,0,36859,67.0258877044511,1000,1,1000
39,"Female",56,18,"South",1,2020,56,1,69289,33.6234141599715,1000,1,1000
40,"Female",52,15,"East",1,2020,52,0,35610,46.2489055343266,1000,1,1000
41,"Male",41,15,"West",1,2020,41,1,71919,70.411880429592,1000,1,1000
42,"Male",37,10,"West",1,2020,37,1,62533,49.7677122336574,1000,1,1000
43,"Male",37,13,"North",1,2020,37,1,51409,56.1838124044296,1000,1,1000
44,"Male",41,8,"East",1,2020,41,1,44922,47.9232305570133,1000,1,1000
45,"Female",40,7,"South",1,2020,40,1,81098,27.6442848026732,1000,1,1000
46,"Male",53,16,"East",1,2020,53,0,91089,69.3675109079455,1000,1,1000
47,"Female",32,1,"North",1,2020,32,1,38642,66.0813312398266,1000,1,1000
48,"Male",55,9,"West",1,2020,55,1,32900,79.1488213826435,1000,1,1000
49,"Male",24,16,"South",1,2020,24,1,40344,97.8727562588427,1000,1,1000
50,"Female",33,13,"East",1,2020,33,1,27130,96.8666822085466,1000,1,1000
51,"Female",36,1,"North",1,2020,36,1,39311,55.8062408026046,1000,1,1000
52,"Female",26,11,"East",1,2020,26,0,50736,68.473266314644,1000,1,1000
53,"Male",28,7,"East",1,2020,28,0,30037,65.5141496493791,1000,1,1000
54,"Male",43,16,"North",1,2020,43,1,102728,85.5265957906453,1000,1,1000
55,"Female",18,17,"South",1,2020,18,1,65597,63.7958553601368,1000,1,1000
56,"Female",35,1,"South",1,2020,35,1,55917,46.9177773288164,1000,1,1000
57,"Female",51,7,"West",1,2020,51,0,24084,71.3758787757339,1000,1,1000
58,"Male",46,1,"North",1,2020,46,1,55322,61.399781978111,1000,1,1000
59,"Male",23,8,"West",1,2020,23,1,28373,69.7321949416861,1000,1,1000
60,"Female",52,17,"East",1,2020,52,1,68969,80.3852105141349,1000,1,1000
61,"Female",42,15,"South",1,2020,42,1,34193,58.886060139808,1000,1,1000
62,"Male",37,16,"West",1,2020,37,1,66128,62.6025653285302,1000,1,1000
63,"Male",62,6,"North",1,2020,62,1,22343,44.4427129985121,1000,1,1000
64,"Female",37,7,"East",1,2020,37,0,94945,60.4199334716791,1000,1,1000
65,"Male",56,6,"East",1,2020,56,1,42403,52.0587137250059,1000,1,1000
66,"Female",51,10,"South",1,2020,51,1,41375,28.0322404079592,1000,1,1000
67,"Male",44,5,"South",1,2020,44,0,43069,60.099344826511,1000,1,1000
68,"Male",20,12,"West",1,2020,20,1,118996,84.6013882735506,1000,1,1000
69,"Female",29,1,"West",1,2020,29,1,9910,59.2666431171338,1000,1,1000
70,"Female",41,20,"North",1,2020,41,1,69194,65.0729711065556,1000,1,1000
71,"Female",32,0,"South",1,2020,32,0,19849,69.8988985529146,1000,1,1000
