"respondent_id","age","urban_rural","education","mode","satisfaction","income_reported","responded","mode_weight"
1,50,"Urban","Medium","Face-to-face",7.4,62835,1,1.30944625407166
2,71,"Urban","Medium","Web",7.2,61472,1,2.92361111111111
3,57,"Urban","Low","Web",4.2,21288,0,2.92361111111111
4,23,"Urban","Medium","Web",6.7,89432,1,2.92361111111111
5,64,"Rural","Medium","Face-to-face",7.8,51517,1,1.30944625407166
6,53,"Rural","Medium","Face-to-face",8,72693,0,1.30944625407166
7,18,"Rural","Medium","Face-to-face",7.9,16035,1,1.30944625407166
8,75,"Rural","Medium","Face-to-face",8.6,57786,1,1.30944625407166
9,44,"Rural","Medium","Phone",5.4,38766,1,1.79284369114878
10,78,"Urban","Low","Web",6.6,33355,0,2.92361111111111
11,36,"Rural","Low","Web",6.3,74151,0,2.92361111111111
12,48,"Rural","Medium","Web",7,48949,0,2.92361111111111
13,80,"Rural","High","Face-to-face",8.8,27234,0,1.30944625407166
14,37,"Rural","Medium","Phone",8.6,12183,1,1.79284369114878
15,48,"Urban","High","Web",7.6,69156,1,2.92361111111111
16,76,"Rural","Medium","Face-to-face",5.8,44809,0,1.30944625407166
17,75,"Rural","High","Face-to-face",8.8,45208,1,1.30944625407166
18,41,"Rural","Medium","Face-to-face",6.9,83578,1,1.30944625407166
19,21,"Rural","High","Face-to-face",9,16828,1,1.30944625407166
20,36,"Urban","High","Phone",6.4,48309,1,1.79284369114878
21,65,"Urban","Medium","Web",6.5,37578,0,2.92361111111111
22,34,"Urban","High","Web",6.7,49973,1,2.92361111111111
23,42,"Urban","Medium","Web",4.8,58449,0,2.92361111111111
24,76,"Urban","High","Web",5.1,86453,1,2.92361111111111
25,23,"Rural","High","Web",5.8,112432,0,2.92361111111111
26,22,"Rural","Medium","Face-to-face",7.8,39847,1,1.30944625407166
27,43,"Rural","High","Web",6.8,35939,1,2.92361111111111
28,77,"Rural","Medium","Face-to-face",9.6,18315,1,1.30944625407166
29,62,"Urban","Low","Phone",6.4,77994,0,1.79284369114878
30,68,"Urban","Medium","Phone",6.8,59258,0,1.79284369114878
31,47,"Urban","Low","Phone",7.8,32645,1,1.79284369114878
32,21,"Rural","High","Face-to-face",8.9,37967,1,1.30944625407166
33,33,"Rural","Low","Phone",7.3,36232,1,1.79284369114878
34,38,"Rural","Medium","Face-to-face",7.2,33060,1,1.30944625407166
35,77,"Rural","Medium","Face-to-face",7.9,61861,1,1.30944625407166
36,64,"Urban","Low","Phone",7.6,58624,0,1.79284369114878
37,46,"Urban","Medium","Web",6.9,40854,1,2.92361111111111
38,41,"Urban","Low","Phone",8.3,30843,1,1.79284369114878
39,64,"Urban","Low","Phone",7,25034,1,1.79284369114878
40,41,"Urban","Medium","Web",7.9,61493,0,2.92361111111111
41,69,"Urban","Medium","Phone",7.6,31661,0,1.79284369114878
42,19,"Rural","Medium","Face-to-face",8.2,47190,0,1.30944625407166
43,44,"Rural","High","Phone",6.7,20965,1,1.79284369114878
44,21,"Rural","High","Web",5.2,16595,0,2.92361111111111
45,31,"Rural","Medium","Face-to-face",7.1,58519,1,1.30944625407166
46,62,"Urban","Medium","Face-to-face",9.1,61146,1,1.30944625407166
47,21,"Rural","Medium","Phone",6.1,11089,0,1.79284369114878
48,48,"Rural","High","Phone",7.8,16881,1,1.79284369114878
49,35,"Urban","High","Phone",8,130255,0,1.79284369114878
50,68,"Rural","Medium","Face-to-face",9,64364,1,1.30944625407166
51,70,"Rural","Low","Face-to-face",6.7,60892,1,1.30944625407166
