"household_id","panel","wave","panel_wave","income","employment","expenditure"
"P1_H1",1,1,1,48649,1,40199
"P1_H2",1,1,1,94764,0,56104
"P1_H3",1,1,1,52972,0,40795
"P1_H4",1,1,1,82491,0,30471
"P1_H5",1,1,1,33588,1,30149
"P1_H6",1,1,1,35457,1,32541
"P1_H7",1,1,1,72853,1,51026
"P1_H8",1,1,1,46616,1,34101
"P1_H9",1,1,1,70711,1,52604
"P1_H10",1,1,1,61421,1,75165
"P1_H11",1,1,1,48411,1,46361
"P1_H12",1,1,1,59830,1,41848
"P1_H13",1,1,1,43579,1,73316
"P1_H14",1,1,1,48189,0,43959
"P1_H15",1,1,1,62116,1,49948
"P1_H16",1,1,1,39151,1,65875
"P1_H17",1,1,1,60876,1,27767
"P1_H18",1,1,1,34836,1,38922
"P1_H19",1,1,1,50765,0,38765
"P1_H20",1,1,1,75802,1,34848
"P1_H21",1,1,1,46979,1,50999
"P1_H22",1,1,1,37243,1,23496
"P1_H23",1,1,1,82293,0,49449
"P1_H24",1,1,1,48017,0,46755
"P1_H25",1,1,1,72475,1,55564
"P1_H26",1,1,1,75438,1,23993
"P1_H27",1,1,1,63056,1,45882
"P1_H28",1,1,1,47992,1,59472
"P1_H29",1,1,1,33322,1,26486
"P1_H30",1,1,1,75066,0,22931
"P1_H31",1,1,1,70697,1,43459
"P1_H32",1,1,1,35335,1,37086
"P1_H33",1,1,1,42972,1,52881
"P1_H34",1,1,1,99127,1,44154
"P1_H35",1,1,1,57615,0,28748
"P1_H36",1,1,1,27575,1,41879
"P1_H37",1,1,1,65965,1,36630
"P1_H38",1,1,1,32977,1,63014
"P1_H39",1,1,1,63827,0,32416
"P1_H40",1,1,1,41515,1,51438
"P1_H41",1,1,1,57452,1,26701
"P1_H42",1,1,1,28099,0,33964
"P1_H43",1,1,1,36692,0,48701
"P1_H44",1,1,1,37601,0,39786
"P1_H45",1,1,1,61854,0,26922
"P1_H46",1,1,1,47456,0,38043
"P1_H47",1,1,1,42242,1,34121
"P1_H48",1,1,1,27467,1,52960
"P1_H49",1,1,1,54359,0,33153
"P1_H50",1,1,1,45941,1,48481
"P1_H51",1,1,1,65820,1,55027
"P1_H52",1,1,1,63215,0,38055
"P1_H53",1,1,1,52212,1,45648
"P1_H54",1,1,1,70938,1,43572
"P1_H55",1,1,1,30135,1,48663
"P1_H56",1,1,1,28481,1,45306
"P1_H57",1,1,1,22890,1,27322
"P1_H58",1,1,1,36486,1,19376
"P1_H59",1,1,1,70073,1,37436
"P1_H60",1,1,1,70743,1,44748
"P1_H61",1,1,1,55002,1,29614
"P1_H62",1,1,1,45831,0,29354
"P1_H63",1,1,1,63619,1,27728
"P1_H64",1,1,1,31226,1,52015
"P1_H65",1,1,1,58974,1,83590
"P1_H66",1,1,1,50066,1,31738
"P1_H67",1,1,1,76222,1,63622
"P1_H68",1,1,1,80814,1,31488
"P1_H69",1,1,1,48711,0,60466
"P1_H70",1,1,1,58030,0,30190
"P1_H71",1,1,1,33543,1,66971
"P1_H72",1,1,1,47815,1,42154
"P1_H73",1,1,1,33806,1,34859
"P1_H74",1,1,1,32239,0,30598
"P1_H75",1,1,1,67690,1,50771
"P1_H76",1,1,1,69039,1,42351
"P1_H77",1,1,1,57332,0,29165
"P1_H78",1,1,1,68826,1,45295
"P1_H79",1,1,1,111729,0,68930
"P1_H80",1,1,1,38204,0,35897
"P1_H81",1,1,1,58704,1,37046
"P1_H82",1,1,1,62760,0,54522
"P1_H83",1,1,1,56465,1,33963
"P1_H84",1,1,1,36364,1,47600
"P1_H85",1,1,1,39304,0,30103
"P1_H86",1,1,1,52151,1,26276
"P1_H87",1,1,1,65459,1,39963
"P1_H88",1,1,1,84120,0,35578
"P1_H89",1,1,1,37983,0,50622
"P1_H90",1,1,1,57429,0,40133
"P1_H91",1,1,1,27544,0,28213
"P1_H92",1,1,1,57792,0,44780
"P1_H93",1,1,1,123764,0,26234
"P1_H94",1,1,1,43256,1,26275
"P1_H95",1,1,1,38703,1,42040
"P1_H96",1,1,1,87179,0,55496
"P1_H97",1,1,1,117208,1,37736
"P1_H98",1,1,1,26110,0,23875
"P1_H99",1,1,1,30272,1,51302
"P1_H100",1,1,1,83953,1,64288
"P1_H101",1,1,1,47185,1,39627
"P1_H102",1,1,1,81891,1,36420
"P1_H103",1,1,1,64702,1,32502
"P1_H104",1,1,1,40293,1,31362
"P1_H105",1,1,1,32278,1,41960
"P1_H106",1,1,1,48882,0,72629
"P1_H107",1,1,1,74526,1,31091
"P1_H108",1,1,1,23888,0,63310
"P1_H109",1,1,1,46538,1,30342
"P1_H110",1,1,1,39118,0,35107
"P1_H111",1,1,1,47415,0,39520
"P1_H112",1,1,1,75421,1,42352
"P1_H113",1,1,1,64174,1,43280
"P1_H114",1,1,1,33856,1,30419
"P1_H115",1,1,1,42987,1,53367
"P1_H116",1,1,1,47388,1,38787
"P1_H117",1,1,1,66375,0,25201
"P1_H118",1,1,1,90022,1,37710
"P1_H119",1,1,1,22310,1,35264
"P1_H120",1,1,1,44745,0,42061
"P1_H121",1,1,1,24535,1,39203
"P1_H122",1,1,1,30351,0,46971
"P1_H123",1,1,1,52437,1,21090
"P1_H124",1,1,1,53227,0,25732
"P1_H125",1,1,1,31852,0,38476
"P1_H126",1,1,1,76125,1,35919
"P1_H127",1,1,1,44364,1,70462
"P1_H128",1,1,1,47171,0,29379
"P1_H129",1,1,1,52623,0,40604
"P1_H130",1,1,1,62565,1,27153
"P1_H131",1,1,1,61091,1,32029
"P1_H132",1,1,1,61972,1,36614
"P1_H133",1,1,1,55269,1,39674
"P1_H134",1,1,1,79301,1,33849
"P1_H135",1,1,1,66797,1,40557
"P1_H136",1,1,1,54120,1,31971
"P1_H137",1,1,1,39361,0,49153
"P1_H138",1,1,1,79812,1,35201
"P1_H139",1,1,1,42990,1,54037
"P1_H140",1,1,1,38924,1,48792
"P1_H141",1,1,1,39819,0,34688
"P1_H142",1,1,1,46997,1,25380
"P1_H143",1,1,1,32246,0,48537
"P1_H144",1,1,1,30698,1,36896
"P1_H145",1,1,1,124997,0,45088
"P1_H146",1,1,1,60668,1,50135
"P1_H147",1,1,1,26209,1,49941
"P1_H148",1,1,1,69178,1,27259
"P1_H149",1,1,1,62097,1,30944
"P1_H150",1,1,1,80156,1,30765
"P1_H151",1,1,1,59602,0,66106
"P1_H152",1,1,1,81903,1,30163
"P1_H153",1,1,1,51289,1,37286
"P1_H154",1,1,1,21296,1,23735
"P1_H155",1,1,1,63531,0,54863
"P1_H156",1,1,1,56037,0,48564
"P1_H157",1,1,1,198337,0,70986
"P1_H158",1,1,1,58420,0,48631
"P1_H159",1,1,1,54225,0,68740
"P1_H160",1,1,1,103602,1,37014
"P1_H161",1,1,1,102242,1,51006
"P1_H162",1,1,1,33151,1,28793
"P1_H163",1,1,1,78582,1,33555
"P1_H164",1,1,1,70099,0,66953
"P1_H165",1,1,1,52334,0,18902
"P1_H166",1,1,1,58161,1,51064
"P1_H167",1,1,1,79454,0,15382
"P1_H168",1,1,1,30819,1,41044
"P1_H169",1,1,1,34824,0,42215
"P1_H170",1,1,1,39280,1,28638
"P1_H171",1,1,1,39641,1,27525
"P1_H172",1,1,1,46608,1,34298
"P1_H173",1,1,1,39687,1,35377
"P1_H174",1,1,1,30969,0,44629
"P1_H175",1,1,1,41433,0,70235
"P1_H176",1,1,1,52469,1,58389
"P1_H177",1,1,1,38816,1,34239
"P1_H178",1,1,1,70377,1,51694
"P1_H179",1,1,1,83828,1,54523
"P1_H180",1,1,1,80958,0,26178
"P1_H181",1,1,1,23849,1,67369
"P1_H182",1,1,1,38130,1,26735
"P1_H183",1,1,1,59177,1,39359
"P1_H184",1,1,1,34576,1,51673
"P1_H185",1,1,1,34253,1,37814
"P1_H186",1,1,1,39030,1,33378
"P1_H187",1,1,1,53987,1,22162
"P1_H188",1,1,1,67890,1,26022
"P1_H189",1,1,1,38558,1,49846
"P1_H190",1,1,1,53876,1,46037
"P1_H191",1,1,1,44762,1,25968
"P1_H192",1,1,1,37879,0,52691
"P1_H193",1,1,1,39017,1,40810
"P1_H194",1,1,1,41396,1,74282
"P1_H195",1,1,1,25785,0,16656
"P1_H196",1,1,1,130652,0,38833
"P1_H197",1,1,1,53823,1,37582
"P1_H198",1,1,1,78543,1,41919
"P1_H199",1,1,1,149505,1,28552
"P1_H200",1,1,1,55246,1,71732
"P1_H201",1,1,1,45841,1,36149
"P1_H202",1,1,1,75389,1,48390
"P1_H203",1,1,1,64140,1,18611
"P1_H204",1,1,1,94009,1,35062
"P1_H205",1,1,1,29553,1,40845
"P1_H206",1,1,1,46992,1,44055
"P1_H207",1,1,1,45450,0,34619
"P1_H208",1,1,1,117519,0,44259
"P1_H209",1,1,1,38120,0,45906
"P1_H210",1,1,1,46549,1,62154
"P1_H211",1,1,1,22001,0,54104
"P1_H212",1,1,1,31388,0,46977
"P1_H213",1,1,1,45797,0,52058
"P1_H214",1,1,1,58202,1,36014
"P1_H215",1,1,1,93244,0,63735
"P1_H216",1,1,1,98894,0,53545
"P1_H217",1,1,1,55307,1,50639
"P1_H218",1,1,1,44075,0,29721
"P1_H219",1,1,1,83665,0,36907
"P1_H220",1,1,1,85528,1,59471
"P1_H221",1,1,1,40690,1,32894
"P1_H222",1,1,1,68725,0,54007
"P1_H223",1,1,1,44954,0,43605
"P1_H224",1,1,1,27120,1,32057
"P1_H225",1,1,1,40996,1,57414
"P1_H226",1,1,1,29970,1,52931
"P1_H227",1,1,1,53038,1,56672
"P1_H228",1,1,1,54634,0,36256
"P1_H229",1,1,1,35057,1,47736
"P1_H230",1,1,1,66906,1,61885
"P1_H231",1,1,1,95473,1,38126
"P1_H232",1,1,1,32839,1,40595
"P1_H233",1,1,1,82221,1,42117
"P1_H234",1,1,1,81869,1,19348
"P1_H235",1,1,1,36742,1,31764
"P1_H236",1,1,1,62692,1,27033
"P1_H237",1,1,1,46184,1,38098
"P1_H238",1,1,1,26310,1,47391
"P1_H239",1,1,1,27892,1,45691
"P1_H240",1,1,1,69845,1,37659
"P1_H241",1,1,1,36903,1,34923
"P1_H242",1,1,1,48789,1,29885
"P1_H243",1,1,1,44789,1,24767
"P1_H244",1,1,1,36532,1,35604
"P1_H245",1,1,1,70887,1,43425
"P1_H246",1,1,1,35436,1,31787
"P1_H247",1,1,1,55725,1,47845
"P1_H248",1,1,1,62343,1,67485
"P1_H249",1,1,1,32581,1,32147
"P1_H250",1,1,1,47197,0,45245
"P1_H251",1,1,1,22544,1,19184
"P1_H252",1,1,1,46195,1,29963
"P1_H253",1,1,1,81441,1,33668
"P1_H254",1,1,1,32333,1,38859
"P1_H255",1,1,1,34700,1,45266
"P1_H256",1,1,1,58799,1,43971
"P1_H257",1,1,1,68748,0,45839
"P1_H258",1,1,1,73895,1,39265
"P1_H259",1,1,1,46184,1,39693
"P1_H260",1,1,1,46804,1,29801
"P1_H261",1,1,1,35899,0,87119
"P1_H262",1,1,1,58222,0,36082
"P1_H263",1,1,1,71299,1,59018
"P1_H264",1,1,1,50119,1,48215
"P1_H265",1,1,1,37189,1,34225
"P1_H266",1,1,1,61127,1,63883
"P1_H267",1,1,1,27281,0,29563
"P1_H268",1,1,1,74350,1,49585
"P1_H269",1,1,1,60918,0,26149
"P1_H270",1,1,1,37173,1,41762
"P1_H271",1,1,1,86721,1,32680
"P1_H272",1,1,1,43671,0,45334
"P1_H273",1,1,1,28438,1,19802
"P1_H274",1,1,1,55565,1,50889
"P1_H275",1,1,1,83238,1,37034
"P1_H276",1,1,1,95514,1,59378
"P1_H277",1,1,1,35345,1,40549
"P1_H278",1,1,1,29221,0,41881
"P1_H279",1,1,1,51752,1,39568
"P1_H280",1,1,1,63359,1,24229
"P1_H281",1,1,1,69423,1,53090
"P1_H282",1,1,1,41046,1,41889
"P1_H283",1,1,1,30186,1,69838
"P1_H284",1,1,1,88335,1,31768
"P1_H285",1,1,1,54771,1,49607
"P1_H286",1,1,1,35875,1,29965
"P1_H287",1,1,1,67356,1,39184
"P1_H288",1,1,1,48340,0,55305
"P1_H289",1,1,1,67039,1,44348
"P1_H290",1,1,1,50892,1,33162
