"id","province","area","psu_id","income","household_size","has_electricity","employment_status","education_years","dwelling_type","water_access","internet_access","health_insurance","chronic_illness","known_pop_province","known_pop_area","stratum","psu_size"
1,"Limpopo","Rural",88,9934.2,6,1,"Not in Labor Force",9,"Informal","Public_Tap",1,0,0,5800000,13300000,"Limpopo_Rural",47
2,"Gauteng","Urban",93,67357.8,5,1,"Not in Labor Force",10,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",55
3,"Limpopo","Urban",142,99138.2,6,0,"Not in Labor Force",7,"Formal","Piped",0,1,0,5800000,24500000,"Limpopo_Urban",49
4,"Limpopo","Urban",2,3948,6,1,"Unemployed",5,"Formal","Piped",0,0,0,5800000,24500000,"Limpopo_Urban",45
5,"KZN","Urban",143,19656,5,1,"Employed",11,"Informal","Well",1,0,0,11500000,24500000,"KZN_Urban",60
6,"Limpopo","Rural",134,47141.1,4,1,"Employed",9,"Formal","Well",1,1,1,5800000,13300000,"Limpopo_Rural",37
7,"KZN","Urban",121,908.8,4,1,"Employed",12,"Formal","Piped",1,0,0,11500000,24500000,"KZN_Urban",46
8,"Gauteng","Urban",125,322804.8,4,1,"Not in Labor Force",12,"Formal","Public_Tap",0,0,1,15800000,24500000,"Gauteng_Urban",48
9,"Western Cape","Urban",158,16197.6,9,1,"Not in Labor Force",10,"Formal","Well",0,0,0,4700000,24500000,"Western Cape_Urban",59
10,"Gauteng","Urban",112,25720.2,5,1,"Employed",6,"Formal","Piped",0,1,1,15800000,24500000,"Gauteng_Urban",45
11,"Western Cape","Rural",35,4040.3,3,1,"Unemployed",8,"Formal","Other",0,0,0,4700000,13300000,"Western Cape_Rural",43
12,"Western Cape","Urban",56,42112.4,4,0,"Unemployed",17,"Informal","Public_Tap",1,0,0,4700000,24500000,"Western Cape_Urban",53
13,"Limpopo","Rural",86,41162.4,3,1,"Employed",18,"Formal","Piped",1,0,0,5800000,13300000,"Limpopo_Rural",39
14,"KZN","Urban",28,38497.6,5,1,"Employed",5,"Formal","Public_Tap",1,1,1,11500000,24500000,"KZN_Urban",52
15,"KZN","Urban",70,56502.4,9,0,"Employed",9,"Formal","Piped",0,0,0,11500000,24500000,"KZN_Urban",57
16,"Limpopo","Urban",193,55176.8,2,1,"Employed",14,"Formal","Piped",1,0,0,5800000,24500000,"Limpopo_Urban",43
17,"Gauteng","Rural",86,25990.8,1,0,"Employed",10,"Informal","Public_Tap",1,0,0,15800000,13300000,"Gauteng_Rural",39
18,"Western Cape","Urban",31,46132.9,4,1,"Employed",9,"Formal","Public_Tap",0,0,1,4700000,24500000,"Western Cape_Urban",50
19,"Gauteng","Urban",47,68166,5,0,"Not in Labor Force",13,"Formal","Public_Tap",0,1,0,15800000,24500000,"Gauteng_Urban",50
20,"Gauteng","Urban",5,36855,2,1,"Not in Labor Force",7,"Formal","Well",0,1,1,15800000,24500000,"Gauteng_Urban",43
21,"Gauteng","Rural",124,102901.2,5,1,"Employed",9,"Informal","Well",0,0,0,15800000,13300000,"Gauteng_Rural",55
22,"Gauteng","Rural",116,26502,6,1,"Not in Labor Force",11,"Traditional","Piped",1,0,0,15800000,13300000,"Gauteng_Rural",50
23,"Limpopo","Urban",117,30314.2,5,1,"Employed",7,"Formal","Public_Tap",1,0,0,5800000,24500000,"Limpopo_Urban",47
24,"Limpopo","Urban",112,97069,4,1,"Not in Labor Force",6,"Formal","Public_Tap",1,0,0,5800000,24500000,"Limpopo_Urban",45
25,"Limpopo","Urban",38,51987.6,3,0,"Not in Labor Force",11,"Informal","Piped",0,1,0,5800000,24500000,"Limpopo_Urban",56
26,"Gauteng","Urban",176,17292.6,3,0,"Employed",7,"Formal","Piped",1,1,0,15800000,24500000,"Gauteng_Urban",59
27,"KZN","Rural",125,41255,5,0,"Unemployed",10,"Formal","Public_Tap",1,1,0,11500000,13300000,"KZN_Rural",48
28,"Limpopo","Urban",44,81443.6,4,1,"Not in Labor Force",10,"Informal","Piped",0,0,0,5800000,24500000,"Limpopo_Urban",43
29,"Gauteng","Urban",133,101910.6,5,0,"Not in Labor Force",10,"Formal","Well",0,0,0,15800000,24500000,"Gauteng_Urban",49
30,"Gauteng","Rural",176,12055.2,2,1,"Employed",13,"Formal","Piped",0,0,0,15800000,13300000,"Gauteng_Rural",59
31,"KZN","Rural",32,6540,5,1,"Employed",10,"Formal","Public_Tap",0,1,0,11500000,13300000,"KZN_Rural",53
32,"Gauteng","Urban",121,128754,5,1,"Employed",9,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",46
33,"Gauteng","Urban",196,4674.6,3,1,"Not in Labor Force",11,"Formal","Well",0,0,0,15800000,24500000,"Gauteng_Urban",47
34,"Western Cape","Urban",85,23647,5,1,"Unemployed",14,"Formal","Well",1,1,0,4700000,24500000,"Western Cape_Urban",52
35,"Limpopo","Urban",64,13370,5,1,"Not in Labor Force",8,"Formal","Piped",1,0,1,5800000,24500000,"Limpopo_Urban",64
36,"Limpopo","Urban",67,2359,5,0,"Not in Labor Force",19,"Formal","Piped",0,1,0,5800000,24500000,"Limpopo_Urban",40
37,"Gauteng","Rural",19,9950.4,3,1,"Employed",8,"Formal","Public_Tap",1,0,1,15800000,13300000,"Gauteng_Rural",55
38,"Western Cape","Urban",152,13737.7,4,0,"Employed",10,"Formal","Piped",1,0,0,4700000,24500000,"Western Cape_Urban",49
39,"Gauteng","Urban",84,4622.4,3,0,"Employed",13,"Formal","Piped",0,1,0,15800000,24500000,"Gauteng_Urban",57
40,"KZN","Urban",3,404969.6,7,1,"Employed",10,"Formal","Public_Tap",1,1,0,11500000,24500000,"KZN_Urban",54
41,"Western Cape","Urban",104,5315.9,3,1,"Unemployed",11,"Formal","Piped",1,1,1,4700000,24500000,"Western Cape_Urban",53
